@RELATION interaction
 
@ATTRIBUTE C0 NUMERIC
@ATTRIBUTE C1 NUMERIC
@ATTRIBUTE C2 NUMERIC
@ATTRIBUTE C3 NUMERIC
@ATTRIBUTE TP {C0, C1, C2, C3}


@DATA
7.58,0.0,0.0,4.73,C0
10.4,0.0,0.87,2.27,C0
11.73,0.0,0.0,7.23,C0
18.13,0.0,0.0,21.06,C3
4.04,0.0,1.86,2.48,C2
1.87,0.0,0.0,34.91,C3
0.0,0.0,0.0,27.08,C3
0.0,0.0,0.0,2.48,C0
8.24,0.0,9.58,2.5,C2
3.91,0.0,0.48,3.97,C0
4.63,0.0,1.26,3.14,C0
23.48,24.75,3.94,5.07,C2
2.61,0.0,0.88,2.38,C2
2.66,7.64,3.67,2.48,C1
0.96,0.0,1.16,4.03,C1
1.37,0.0,3.6,4.83,C2
5.2,0.0,1.84,6.82,C2
3.58,0.0,2.25,2.16,C2
2.57,14.87,0.86,12.82,C1
1.38,7.58,0.86,9.91,C1
9.63,0.0,1.83,5.05,C0
2.64,18.85,1.9,2.48,C1
2.77,0.0,1.94,9.34,C2
0.95,2.71,0.76,15.87,C1
6.83,0.0,1.81,2.51,C0
0.0,0.0,0.0,31.91,C3
3.66,12.77,2.64,2.34,C1
2.43,14.35,2.36,2.3,C1
3.89,7.75,0.93,26.83,C1
19.11,0.0,6.76,7.48,C0
4.43,7.6,3.26,2.18,C1
11.3,0.0,0.0,2.32,C2
2.66,0.0,5.62,4.95,C2
2.3,0.0,0.0,10.84,C3
1.34,66.42,0.96,2.53,C1
4.44,0.0,0.75,15.0,C2
55.91,0.0,0.0,66.77,C3
15.96,0.0,0.0,10.02,C2
2.68,19.29,0.81,2.46,C1
13.88,0.0,4.87,20.05,C3
5.86,0.0,1.67,18.49,C2
0.0,0.0,0.0,24.46,C0
1.3,3.39,1.75,22.23,C1
2.75,8.03,4.84,2.53,C2
0.37,0.0,0.0,9.61,C3
2.2,0.0,1.41,7.7,C0
7.28,0.0,1.71,2.33,C0
14.65,3.54,2.89,7.22,C1
2.66,24.03,1.81,2.46,C1
0.0,0.32,0.0,0.01,C1
1.36,7.86,0.94,32.46,C1
1.29,0.0,0.0,2.44,C0
4.47,13.69,1.7,2.3,C1
2.68,42.86,1.91,2.39,C1
6.08,11.46,3.47,3.24,C1
11.7,0.0,1.84,11.96,C1
6.11,0.0,3.29,18.96,C2
1.35,20.27,1.9,4.76,C1
2.65,0.0,2.43,2.34,C2
1.31,0.0,0.0,2.2,C0
3.96,7.91,2.84,4.89,C1
2.21,4.24,1.19,18.99,C2
6.85,0.0,3.85,2.5,C2
2.74,34.84,0.93,2.51,C1
2.43,56.92,2.9,10.94,C1
4.04,15.5,6.41,2.48,C2
6.2,0.0,0.92,2.32,C2
2.48,35.47,0.92,26.09,C1
1.34,0.0,0.0,36.11,C2
6.61,37.94,8.27,2.49,C2
4.66,0.0,1.77,2.29,C1
2.6,16.41,4.5,4.48,C1
2.82,35.98,2.97,2.56,C1
2.33,47.34,0.83,2.34,C1
5.08,0.0,0.91,39.52,C2
1.29,74.25,2.78,4.74,C2
3.87,0.0,0.0,6.87,C0
4.82,0.0,0.0,25.24,C3
1.35,0.0,0.9,2.48,C2
1.34,7.81,1.83,2.38,C1
0.0,0.0,0.0,0.0,C3
2.82,12.32,1.96,2.56,C1
8.4,0.0,7.2,4.85,C2
18.88,0.0,1.81,23.99,C2
1.12,0.0,0.0,15.09,C3
1.79,0.0,0.0,11.91,C2
2.6,35.24,7.37,7.13,C1
5.29,0.0,3.93,4.08,C2
13.55,3.7,1.83,9.88,C1
2.61,11.4,4.65,2.3,C2
20.58,0.0,0.0,7.54,C0
